energy,ad,cvm,ks
0.661,0.815,0.826,0.762
0.352,0.529,0.534,0.476
0.189,0.345,0.353,0.302
0.092,0.204,0.21,0.189
0.062,0.112,0.12,0.106
0.033,0.087,0.087,0.079
0.032,0.058,0.059,0.061
0.054,0.05,0.056,0.055
0.08,0.072,0.064,0.062
0.118,0.086,0.081,0.072
0.151,0.101,0.093,0.088
0.231,0.142,0.115,0.099
0.297,0.185,0.159,0.148
0.354,0.235,0.198,0.179
0.4,0.295,0.257,0.219
0.467,0.343,0.297,0.249
0.523,0.374,0.323,0.263
0.585,0.434,0.383,0.32
0.609,0.451,0.374,0.351
0.667,0.523,0.451,0.388
