energy,ad,cvm,ks
1,1,1,1
0.998,0.998,0.997,0.98
0.923,0.917,0.919,0.877
0.648,0.648,0.651,0.56
0.345,0.356,0.36,0.318
0.16,0.182,0.188,0.164
0.05,0.072,0.068,0.068
0.045,0.047,0.044,0.046
0.107,0.079,0.076,0.073
0.2,0.148,0.133,0.126
0.35,0.29,0.254,0.222
0.509,0.418,0.338,0.304
0.619,0.541,0.454,0.397
0.728,0.639,0.557,0.513
0.816,0.738,0.658,0.592
0.906,0.846,0.764,0.698
0.926,0.89,0.815,0.762
0.967,0.939,0.876,0.836
0.977,0.959,0.926,0.891
0.99,0.981,0.94,0.924
